product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
65,Фета,6784,150,Молочные продукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2011-09-13,2017-01-01,2.55,Sold
66,Сгущенное молоко,829,105,Бакалея,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2006-03-07,2009-01-06,0.03,Temporarily Unavailable
67,Авокадо,4044,212,Фрукты,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2011-03-02,2025-03-02,1.14,Refunded
68,Черника,9381,596,Фрукты,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2004-05-01,2008-01-06,1.74,Awaiting Review
69,Шницель,9445,336,Мясо,Помогает укреплять стенки сосудов и улучшать кровообращение.,2019-06-01,2023-05-11,1.56,Out of Stock
70,Кокос,1523,417,Фрукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,2016-12-01,2019-01-04,3.99,Out of Stock
71,Судакская,4038,498,Напитки,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1995-08-04,2019-03-20,4.62,Out of Stock
72,Шубат,822,274,Молочные продукты,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",1991-01-10,2017-03-02,3.81,Refunded
73,Бекон,3805,468,Мясо,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1990-02-21,2018-01-01,2.21,Returned
74,Крыжовник,4843,251,Фрукты,Прошел проверку на соответствие экологическим нормам и стандартам.,2000-02-16,2018-01-18,2.93,Cancelled
75,Лук-порей,3695,319,Овощи,Помогает поддерживать нормальный уровень сахара в крови.,2013-02-11,2028-06-10,1.99,Delivered
76,Нектарин,7483,712,Фрукты,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2010-08-18,2017-03-14,0.97,New
77,Каша из кукурузной муки,8833,572,Бакалея,"Подходит для использования в диетах, направленных на снижение веса.",1996-02-07,2026-01-01,0.09,Backorder
78,Растительное масло горчичное,9320,555,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2000-01-08,2001-03-05,0.48,In Stock
79,Картофель,138,252,Овощи,Помогает предотвратить дефицит витаминов и минералов в организме.,1992-01-05,1999-06-01,4.37,Returned
80,"Семечки (тыквенные, подсолнечника)",3401,233,Бакалея,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2010-02-04,2015-01-08,2.88,Available for Pickup
81,Освежитель воздуха,2919,744,Товары для дома,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",1990-01-16,2007-05-04,1.88,Refunded
82,Капучино,9535,491,Напитки,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1998-01-01,2010-01-14,2.44,On Backorder
83,Мацеста,5995,693,Напитки,Широко используется в традиционной и современной кухне.,2004-04-10,2024-01-02,4.49,Out of Stock
84,Пакеты бумажные,3788,499,Товары для дома,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1994-03-01,2001-05-04,1.78,Shipping
85,Тан,4470,722,Молочные продукты,Подходит для использования в качестве замены традиционных молочных продуктов.,2021-04-02,2030-01-01,4.56,Temporarily Unavailable
86,Мацони,3926,773,Молочные продукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2016-05-04,2019-01-03,3.13,Available for Pickup
87,Томская,4349,43,Напитки,"Отличается приятным ароматом, который усиливает аппетит.",2020-01-10,2030-06-12,4.67,On Backorder
88,Пастернак,7807,758,Овощи,Идеален для перекусов между основными приемами пищи.,1991-02-03,2010-01-14,2.26,Sold
89,Шубат,1154,805,Молочные продукты,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1997-01-08,2012-02-05,4.21,Refunded
90,Доктор Пеппер,4441,96,Напитки,Идеален для перекусов между основными приемами пищи.,2014-03-03,2023-01-13,2.72,Awaiting Review
91,Ройбос,334,342,Напитки,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2018-05-05,2022-02-12,1.62,Sold
92,Каша из дробленной овсянки,2038,774,Бакалея,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2006-01-01,2022-01-03,4.08,Shipping
93,Корица молотая,6050,758,Бакалея,Способствует поддержанию нормальной микрофлоры кишечника.,2006-05-06,2006-10-05,4.31,Returned
94,Тако с мясом,7040,549,Мясо,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1998-07-15,2017-04-06,1.9,New
95,Карпаччо,2157,195,Мясо,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2012-05-01,2024-03-06,4.21,Refunded
96,Картофель,7887,944,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2014-05-04,2017-07-12,3.94,In Stock
97,Вода,5928,9,Напитки,Подходит для использования в диетических программах для похудения.,2013-06-09,2027-06-03,3.21,Refunded
98,Краснодарская,3374,340,Напитки,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2018-02-10,2026-03-03,4.32,In Stock
99,Каша из манной крупы,4137,516,Бакалея,Отличается низкой калорийностью и высоким содержанием белка.,2008-01-07,2013-02-12,4.64,On Backorder
100,Прошутто,4438,318,Мясо,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2005-02-04,2019-01-01,4.6,Temporarily Unavailable
101,Старый источник,9388,166,Напитки,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2000-08-04,2020-01-03,0.37,Returned
102,Уральская,1989,303,Напитки,"Подходит для использования в диетах, направленных на снижение веса.",2014-05-09,2020-02-01,0.16,Refunded
103,Цукини,6496,699,Овощи,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1998-04-06,2000-01-21,2.35,Awaiting Review
104,Бамия,7207,810,Овощи,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2015-05-03,2021-01-04,3.23,Sold
105,Чеснок,6228,155,Овощи,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2022-05-08,2024-03-12,2.63,Out of Stock
