,Product ID (#) *1,Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
61,62,Чабрец сушеный,2883,318,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2000-04-06,2026-12-18,1.36,Returned
62,63,Пакеты для Дня смеха,1643,334,Товары для дома,Отличается высокой питательностью и способен быстро утолить голод.,2011-03-03,2014-02-04,0.52,Cancelled
63,64,Уксус,8055,846,Бакалея,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2021-02-02,2026-01-13,0.96,Sold
64,65,Клубника,6875,570,Фрукты,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2000-06-02,2022-06-06,3.88,Delivered
65,66,Простокваша,1075,390,Молочные продукты,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2006-01-09,2011-01-02,4.84,Cancelled
66,67,Шпинат,4314,961,Овощи,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2003-01-21,2023-04-13,2.08,Delivered
67,68,Петрушка корневая,3899,218,Овощи,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2005-02-08,2006-09-17,4.11,Out of Stock
68,69,Фета,1312,478,Молочные продукты,Идеален для перекусов между основными приемами пищи.,1994-08-19,2025-06-15,0.16,Backorder
69,70,Аква Минерале,2926,13,Напитки,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2008-05-11,2030-06-04,2.29,Shipping
70,71,Стиральный порошок,9754,703,Товары для дома,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2002-01-13,2012-05-01,3.26,Temporarily Unavailable
71,72,Шпинат,8174,476,Овощи,Помогает сохранять бодрость и активность в течение дня.,2022-06-25,2025-01-12,3.17,Available for Pickup
72,73,Гуляш,1508,929,Мясо,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2001-03-02,2013-04-05,1.27,Pending
73,74,Половники,8390,10,Товары для дома,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2009-05-10,2028-02-27,2.1,On Backorder
74,75,Кольраби,811,727,Овощи,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2014-12-06,2023-05-04,3.44,Available for Pickup
75,76,Горох,4870,825,Овощи,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2004-11-01,2008-12-08,0.49,On Backorder
76,77,Амурская,6544,825,Напитки,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2016-05-02,2023-02-25,2.56,New
77,78,Шумовки,2571,519,Товары для дома,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2002-04-04,2030-07-03,1.16,Backorder
78,79,Майонез,8510,397,Бакалея,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2009-01-03,2020-08-17,0.06,Sold
79,80,Энчиладас с мясом,3835,456,Мясо,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2013-05-06,2014-02-02,3.55,Shipping
80,81,Гречка,7207,683,Бакалея,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2010-08-04,2030-07-13,3.95,Shipping
81,82,Рамбутан,8880,352,Фрукты,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2019-05-19,2026-01-11,2.81,Available for Pickup
82,83,Пакеты для походов,3565,812,Товары для дома,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1993-04-07,2008-02-16,4.76,In Stock
83,84,Карамбола,1544,807,Фрукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2014-01-06,2020-08-19,2.46,Available for Pickup
84,85,Портулак,4583,420,Овощи,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,1995-03-05,2012-01-20,1.32,Cancelled
85,86,Ямс,1058,461,Овощи,"Подходит для приготовления как горячих, так и холодных блюд.",2009-05-16,2012-04-12,2.52,Delivered
86,87,Шумовки,6139,650,Товары для дома,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2022-03-08,2028-02-04,4.49,Out of Stock
87,88,Каша из дробленного риса,987,936,Бакалея,Помогает поддерживать оптимальный вес и форму тела.,2011-02-16,2017-06-10,1.29,Sold
88,89,Киноа,6927,593,Бакалея,Помогает поддерживать нормальный уровень гемоглобина в крови.,2003-01-10,2016-03-04,3.14,Awaiting Review
89,90,Каша из дробленой гречихи,8002,728,Бакалея,Помогает укреплять стенки сосудов и улучшать кровообращение.,2005-03-16,2007-02-08,1.54,Temporarily Unavailable
90,91,Сок апельсиновый,5396,115,Напитки,Подходит для использования в специализированных диетах и лечебных программах.,1998-02-02,2012-04-07,1.69,Delivered
91,92,Растительное масло кукурузное,1720,651,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",2000-04-07,2024-01-11,3.92,Pending
92,93,Ласси,470,912,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2009-08-06,2011-11-15,2.8,Awaiting Review
93,94,Плавленые сырки,3749,278,Бакалея,Способствует поддержанию нормальной микрофлоры кишечника.,2020-01-08,2023-01-14,0.58,Awaiting Payment
94,95,Vittel,570,10,Напитки,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",1999-02-03,1999-07-01,1.21,Backorder
95,96,Каша из булгура,8659,480,Бакалея,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",1992-06-02,1995-02-05,1.55,Shipping
96,97,Сметана,4024,242,Молочные продукты,Может быть использован в выпечке для придания ей особой пышности и аромата.,1990-01-02,2030-08-05,1.85,Cancelled
97,98,Цветная капуста,7052,440,Овощи,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1998-03-01,2015-07-06,2.16,Delivered
98,99,Рыбинская,5438,167,Напитки,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2008-11-08,2010-06-03,3.56,Refunded
99,100,Тан,5496,147,Молочные продукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2009-01-06,2015-02-22,2.7,Pending
100,101,Баранина,6963,192,Мясо,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2017-04-05,2018-03-27,3.76,Pending
101,102,Новошахтинская,9493,949,Напитки,Широко используется в традиционной и современной кухне.,1995-05-08,1997-01-19,1.42,Awaiting Payment
102,103,Пастернак,7291,62,Овощи,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1996-04-06,2014-05-10,0.07,New
103,104,Пакеты для благотворительного мероприятия,9768,846,Товары для дома,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2011-09-14,2014-01-11,3.47,Cancelled
104,105,Крыжовник,4576,402,Фрукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2009-01-24,2022-01-07,4.97,New
105,106,Манго,3831,7,Фрукты,Может быть использован в качестве заменителя менее полезных продуктов.,2012-05-20,2015-02-04,0.16,Pending
106,107,Ванилин,6542,420,Бакалея,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2022-01-12,2028-05-05,2.44,Available for Pickup
107,108,Фольга алюминиевая,2018,651,Товары для дома,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",1990-07-04,2024-05-01,4.04,Sold
108,109,Батат,3653,562,Овощи,Часто рекомендуется врачами-диетологами как часть здорового питания.,1996-11-04,2028-03-06,4.69,Shipping
109,110,Кондиционер для белья,2777,78,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2002-01-13,2013-05-12,3.36,Cancelled
110,111,Бамия,9006,943,Овощи,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1994-06-01,2006-08-12,0.35,Returned
111,112,Каша из проса,948,322,Бакалея,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2018-03-01,2030-02-06,4.15,Out of Stock
112,113,Кисель ягодный,9740,510,Напитки,Помогает поддерживать нормальный уровень гормонов в организме.,1994-02-16,2029-06-05,1.21,Sold
113,114,Российский сыр,9491,466,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2014-01-06,2016-03-08,0.53,Awaiting Review
114,115,Пакеты для Пасхи,7865,728,Товары для дома,Может быть использован в выпечке для придания ей особой пышности и аромата.,1995-01-02,2014-02-03,0.81,Refunded
115,116,Простокваша,8039,487,Молочные продукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2022-07-05,2025-02-27,4.55,New
116,117,Белый перец молотый,8393,941,Бакалея,Отличается способностью повышать общий тонус и работоспособность.,2020-11-03,2026-02-02,0.55,On Backorder
117,118,Инжир,4380,356,Фрукты,Помогает поддерживать оптимальный вес и форму тела.,2021-05-04,2027-04-19,0.66,Refunded
118,119,Ананас,7231,197,Фрукты,Отличается низким содержанием насыщенных жиров и холестерина.,1997-01-18,2004-04-06,3.68,Available for Pickup
119,120,Джем,5008,344,Бакалея,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1990-01-03,2003-03-23,1.54,Refunded
120,121,Кукуруза консервированная,6529,985,Бакалея,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2000-04-17,2011-10-17,1.1,Awaiting Review
121,122,"Орехи (грецкий орех, миндаль, фундук)",1114,875,Бакалея,Помогает поддерживать нормальный уровень триглицеридов в крови.,2010-01-12,2011-05-08,0.84,Delivered
122,123,Укроп,9610,32,Овощи,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1997-02-10,2009-02-11,1.6,Pending
123,124,Адыгейский сыр,2432,498,Молочные продукты,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2005-04-07,2007-02-03,3.03,Awaiting Payment
124,125,Лук-порей,8642,421,Овощи,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2003-01-03,2029-01-01,3.08,Shipping
125,126,Пакеты для благотворительного мероприятия,5854,588,Товары для дома,"Подходит для приготовления как горячих, так и холодных блюд.",1996-01-03,2015-03-03,2.12,New
126,127,Камамбер,1773,880,Молочные продукты,Способствует нормализации обмена веществ в организме.,2016-05-01,2029-01-03,3.35,In Stock
127,128,Ряженка,4999,442,Молочные продукты,Помогает укреплять стенки сосудов и улучшать кровообращение.,2014-03-03,2014-08-01,4.14,New
